,Rank,Player,Pos,Year Inducted,From,To,1st Team All-Pro,Number of Pro-Bowls,Years as Primary Starter,CarAV,Games Played,PassingCmp,PassingAtt,PassingYds,PassingTD,PassLng,PassingInt,Sk,Yds.1,RushingAtt,RushingYds,RushingTD,RushLng,ReceivingRec,ReceivingYds,ReceivingTD,RecLong,Hall of Fame
0,1,Steve Atwater,DB,2020,1989,1999,2,8,11,78,167,,,,,,,,,,,,,,,,,Y
1,2,Isaac Bruce,WR,2020,1994,2009,0,4,13,102,223,3.0,8.0,81.0,0.0,41.0,1.0,0.0,0.0,25.0,139.0,0.0,30.0,1024.0,15208.0,91.0,80.0,Y
2,3,Harold Carmichael,WR,2020,1971,1984,0,4,11,79,182,1.0,4.0,45.0,1.0,45.0,0.0,0.0,0.0,9.0,64.0,0.0,23.0,590.0,8985.0,79.0,85.0,Y
3,4,Jimbo Covert,T,2020,1983,1990,2,2,7,57,111,,,,,,,,,,,,,,,,,Y
4,5,Bobby Dillon,DB,2020,1952,1959,4,4,8,0,94,,,,,,,,,,,,,,,,,Y
5,6,Cliff Harris,DB,2020,1970,1979,3,6,9,77,141,,,,,,,,,,,,,,,,,Y
6,7,Winston Hill,T,2020,1963,1977,0,8,13,74,198,,,,,,,,,,,,,,,,,Y
7,8,Steve Hutchinson,G,2020,2001,2012,5,7,11,96,169,,,,,,,,,,,,,,,,,Y
8,9,Edgerrin James,RB,2020,1999,2009,1,4,8,114,148,,,,,,,,,3028.0,12246.0,80.0,72.0,433.0,3364.0,11.0,60.0,Y
9,10,Alex Karras,DT,2020,1958,1970,3,4,12,88,161,,,,,,,,,,,,,,,,,Y
10,11,Troy Polamalu,DB,2020,2003,2014,4,8,9,94,158,,,,,,,,,,,,,,,,,Y
11,12,Donnie Shell,DB,2020,1974,1987,3,5,11,91,201,,,,,,,,,,,,,2.0,39.0,0.0,20.0,Y
12,13,Duke Slater,T,2020,1922,1931,0,0,9,0,90,,,,,,,,,,,,,,,,,Y
13,14,Mac Speedie,E,2020,1946,1952,3,2,7,0,86,,,,,,,,,2.0,0.0,0.0,7.0,349.0,5602.0,33.0,99.0,Y
14,15,Ed Sprinkle,DE,2020,1944,1955,0,4,7,0,132,0.0,1.0,0.0,0.0,0.0,0.0,,,3.0,2.0,0.0,5.0,32.0,451.0,7.0,47.0,Y
15,16,Champ Bailey,DB,2019,1999,2013,3,12,14,111,215,,,,,,,,,2.0,11.0,1.0,7.0,4.0,89.0,0.0,42.0,Y
16,17,Tony Gonzalez,TE,2019,1997,2013,6,14,16,97,270,1.0,1.0,40.0,0.0,40.0,0.0,0.0,0.0,2.0,14.0,0.0,9.0,1325.0,15127.0,111.0,73.0,Y
17,18,Ty Law,DB,2019,1995,2009,2,5,11,85,203,,,,,,,,,,,,,,,,,Y
18,19,Kevin Mawae,C,2019,1994,2009,3,8,15,107,241,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Y
19,20,Ed Reed,DB,2019,2002,2013,5,9,10,106,174,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Y
20,21,Johnny Robinson,DB,2019,1960,1971,6,7,12,91,164,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,150.0,658.0,6.0,49.0,77.0,1228.0,9.0,74.0,Y
21,22,Robert Brazile,LB,2018,1975,1984,2,7,10,74,147,,,,,,,,,,,,,,,,,Y
22,23,Brian Dawkins,DB,2018,1996,2011,4,9,14,100,224,,,,,,,,,,,,,1.0,57.0,1.0,57.0,Y
23,24,Jerry Kramer,G,2018,1958,1968,5,3,9,76,130,,,,,,,,,,,,,,,,,Y
24,25,Ray Lewis,LB,2018,1996,2012,7,13,14,158,228,,,,,,,,,,,,,,,,,Y
25,26,Randy Moss,WR,2018,1998,2012,4,6,12,123,218,4.0,8.0,106.0,2.0,37.0,1.0,0.0,0.0,25.0,159.0,0.0,25.0,982.0,15292.0,156.0,82.0,Y
26,27,Terrell Owens,WR,2018,1996,2010,5,6,13,119,219,,,,,,,,,39.0,251.0,3.0,38.0,1078.0,15934.0,153.0,98.0,Y
27,28,Brian Urlacher,LB,2018,2000,2012,4,8,12,118,182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,27.0,1.0,27.0,Y
28,29,Morten Andersen,K,2017,1982,2007,3,7,24,51,382,,,,,,,,,,,,,,,,,Y
29,30,Terrell Davis,RB,2017,1995,2001,3,3,4,72,78,,,,,,,,,1655.0,7607.0,60.0,71.0,169.0,1280.0,5.0,35.0,Y
30,31,Kenny Easley,DB,2017,1981,1987,3,5,7,60,89,,,,,,,,,,,,,,,,,Y
31,32,Jason Taylor,DE,2017,1997,2011,3,6,12,117,233,,,,,,,,,,,,,0.0,0.0,0.0,0.0,Y
32,33,LaDainian Tomlinson,RB,2017,2001,2011,3,5,10,128,170,8.0,12.0,143.0,7.0,38.0,0.0,2.0,3.0,3174.0,13684.0,145.0,85.0,624.0,4772.0,17.0,74.0,Y
33,34,Kurt Warner,QB,2017,1998,2009,2,4,8,96,124,2666.0,4070.0,32344.0,208.0,85.0,128.0,260.0,1669.0,173.0,286.0,3.0,23.0,1.0,0.0,0.0,0.0,Y
34,35,Brett Favre,QB,2016,1991,2010,3,11,19,156,302,6300.0,10169.0,71838.0,508.0,99.0,336.0,525.0,3487.0,602.0,1844.0,14.0,40.0,2.0,-7.0,0.0,2.0,Y
35,36,Kevin Greene,LB,2016,1985,1999,2,5,11,94,228,,,,,,,,,,,,,,,,,Y
36,37,Marvin Harrison,WR,2016,1996,2008,3,8,12,124,190,,,,,,,,,10.0,28.0,0.0,15.0,1102.0,14580.0,128.0,80.0,Y
37,38,Orlando Pace,T,2016,1997,2009,3,7,12,104,169,,,,,,,,,,,,,,,,,Y
38,39,Ken Stabler,QB,2016,1970,1984,1,4,11,94,184,2270.0,3793.0,27938.0,194.0,88.0,222.0,281.0,2514.0,118.0,93.0,4.0,18.0,,,,,Y
39,40,Dick Stanfel,G,2016,1952,1958,5,5,7,0,73,,,,,,,,,,,,,,,,,Y
40,41,Jerome Bettis,RB,2015,1993,2005,2,6,11,80,192,3.0,6.0,63.0,3.0,32.0,1.0,0.0,0.0,3479.0,13662.0,91.0,71.0,200.0,1449.0,3.0,34.0,Y
41,42,Tim Brown,WR,2015,1988,2004,0,9,13,104,255,,,,,,,,,50.0,190.0,1.0,19.0,1094.0,14934.0,100.0,80.0,Y
42,43,Charles Haley,DE,2015,1986,1999,2,5,8,84,169,,,,,,,,,,,,,,,,,Y
43,44,Junior Seau,LB,2015,1990,2009,6,12,15,127,268,,,,,,,,,,,,,2.0,8.0,0.0,6.0,Y
44,45,Will Shields,G,2015,1993,2006,2,12,13,113,224,,,,,,,,,,,,,1.0,4.0,0.0,4.0,Y
45,46,Mick Tingelhoff,C,2015,1962,1978,5,6,17,102,240,,,,,,,,,,,,,,,,,Y
46,47,Derrick Brooks,LB,2014,1995,2008,5,11,13,141,224,,,,,,,,,,,,,,,,,Y
